variant,base_model,normalization,iteration,macro_f1
dino_vits8_dataset,dino_vits8,dataset,75,84.13504267421902
dino_vits8_dataset,dino_vits8,dataset,76,85.59051056547413
dino_vits8_dataset,dino_vits8,dataset,77,85.02984560950648
dino_vits8_dataset,dino_vits8,dataset,78,86.22464911949814
dino_vits8_dataset,dino_vits8,dataset,79,82.61925759855397
dino_vits8_dataset,dino_vits8,dataset,80,84.5682211100828
dino_vits8_dataset,dino_vits8,dataset,81,81.47929030162989
dino_vits8_dataset,dino_vits8,dataset,82,81.14953451905087
dino_vits8_dataset,dino_vits8,dataset,83,81.49460975681728
dino_vits8_dataset,dino_vits8,dataset,84,82.39091188951816
dino_vits8_dataset,dino_vits8,dataset,85,82.94288658724473
dino_vits8_dataset,dino_vits8,dataset,86,83.51529995541804
dino_vits8_dataset,dino_vits8,dataset,87,82.91238147505571
dino_vits8_dataset,dino_vits8,dataset,88,80.05988544765785
dino_vits8_dataset,dino_vits8,dataset,89,82.2989912624002
dino_vits8_dataset,dino_vits8,dataset,90,82.54525287774285
dino_vits8_dataset,dino_vits8,dataset,91,81.53636311218413
dino_vits8_dataset,dino_vits8,dataset,92,81.41638971260804
dino_vits8_dataset,dino_vits8,dataset,93,83.7734823491722
dino_vits8_dataset,dino_vits8,dataset,94,83.6197075462409
dino_vits8_dataset,dino_vits8,dataset,95,81.78168478609757
dino_vits8_dataset,dino_vits8,dataset,96,84.35886011922909
dino_vits8_dataset,dino_vits8,dataset,97,83.19303005756898
dino_vits8_dataset,dino_vits8,dataset,98,82.3996399657232
dino_vits8_dataset,dino_vits8,dataset,99,84.35675441669504
dino_vits8_dataset,dino_vits8,dataset,100,83.57132896703156
dino_vits8_imagenet,dino_vits8,imagenet,1,83.77490886512393
dino_vits8_imagenet,dino_vits8,imagenet,2,83.84100359869556
dino_vits8_imagenet,dino_vits8,imagenet,3,85.9593239313922
dino_vits8_imagenet,dino_vits8,imagenet,4,85.815067098087
dino_vits8_imagenet,dino_vits8,imagenet,5,84.18963960447935
dino_vits8_imagenet,dino_vits8,imagenet,6,83.59865652040344
dino_vits8_imagenet,dino_vits8,imagenet,7,85.85433835524408
dino_vits8_imagenet,dino_vits8,imagenet,8,83.73153664245767
dino_vits8_imagenet,dino_vits8,imagenet,9,85.29495363530673
dino_vits8_imagenet,dino_vits8,imagenet,10,84.88020052420772
dino_vits8_imagenet,dino_vits8,imagenet,11,84.08888325909942
dino_vits8_imagenet,dino_vits8,imagenet,12,83.15944247358087
dino_vits8_imagenet,dino_vits8,imagenet,13,86.20214243454987
dino_vits8_imagenet,dino_vits8,imagenet,14,84.62915462222624
dino_vits8_imagenet,dino_vits8,imagenet,15,86.08803784731398
dino_vits8_imagenet,dino_vits8,imagenet,16,86.81128361652543
dino_vits8_imagenet,dino_vits8,imagenet,17,83.13840214978468
dino_vits8_imagenet,dino_vits8,imagenet,18,84.23567773347578
dino_vits8_imagenet,dino_vits8,imagenet,19,87.0251897806768
dino_vits8_imagenet,dino_vits8,imagenet,20,83.59716772893434
dino_vits8_imagenet,dino_vits8,imagenet,21,85.97787675237431
dino_vits8_imagenet,dino_vits8,imagenet,22,84.14609094071636
dino_vits8_imagenet,dino_vits8,imagenet,23,84.68437085317369
dino_vits8_imagenet,dino_vits8,imagenet,24,84.55702600974703
dino_vits8_imagenet,dino_vits8,imagenet,25,83.89495665181528
dino_vits8_imagenet,dino_vits8,imagenet,26,84.19140320120057
dino_vits8_imagenet,dino_vits8,imagenet,27,85.25404413575808
dino_vits8_imagenet,dino_vits8,imagenet,28,84.1211850311155
dino_vits8_imagenet,dino_vits8,imagenet,29,84.80960154509411
dino_vits8_imagenet,dino_vits8,imagenet,30,85.21443527491101
dino_vits8_imagenet,dino_vits8,imagenet,31,84.97237082630433
dino_vits8_imagenet,dino_vits8,imagenet,32,86.15311990047236
dino_vits8_imagenet,dino_vits8,imagenet,33,84.5332282114214
dino_vits8_imagenet,dino_vits8,imagenet,34,85.45584290831819
dino_vits8_imagenet,dino_vits8,imagenet,35,86.89791639461382
dino_vits8_imagenet,dino_vits8,imagenet,36,87.48402790879746
dino_vits8_imagenet,dino_vits8,imagenet,37,85.25691977152626
dino_vits8_imagenet,dino_vits8,imagenet,38,85.98244229141292
dino_vits8_imagenet,dino_vits8,imagenet,39,83.85536028820702
dino_vits8_imagenet,dino_vits8,imagenet,40,85.74224620994076
dino_vits8_imagenet,dino_vits8,imagenet,41,86.43323535660822
dino_vits8_imagenet,dino_vits8,imagenet,42,84.6419364112367
dino_vits8_imagenet,dino_vits8,imagenet,43,83.96711334698765
dino_vits8_imagenet,dino_vits8,imagenet,44,85.5728607777673
dino_vits8_imagenet,dino_vits8,imagenet,45,85.34272855841631
dino_vits8_imagenet,dino_vits8,imagenet,46,84.25360325783727
dino_vits8_imagenet,dino_vits8,imagenet,47,87.02594756675028
dino_vits8_imagenet,dino_vits8,imagenet,48,86.17857761668306
dino_vits8_imagenet,dino_vits8,imagenet,49,85.66183216295262
dino_vits8_imagenet,dino_vits8,imagenet,50,84.39586201300342
dino_vits8_imagenet,dino_vits8,imagenet,51,85.70242710653957
dino_vits8_imagenet,dino_vits8,imagenet,52,86.55874718377639
dino_vits8_imagenet,dino_vits8,imagenet,53,85.95358931081904
dino_vits8_imagenet,dino_vits8,imagenet,54,87.2672602918962
dino_vits8_imagenet,dino_vits8,imagenet,55,88.4696388861692
dino_vits8_imagenet,dino_vits8,imagenet,56,88.51291973742326
dino_vits8_imagenet,dino_vits8,imagenet,57,86.76556145762714
dino_vits8_imagenet,dino_vits8,imagenet,58,87.6907214553473
dino_vits8_imagenet,dino_vits8,imagenet,59,85.0433489473119
dino_vits8_imagenet,dino_vits8,imagenet,60,84.47683483438891
dino_vits8_imagenet,dino_vits8,imagenet,61,83.13575730543545
dino_vits8_imagenet,dino_vits8,imagenet,62,86.9202102322115
dino_vits8_imagenet,dino_vits8,imagenet,63,86.52278759791272
dino_vits8_imagenet,dino_vits8,imagenet,64,83.99606181227969
dino_vits8_imagenet,dino_vits8,imagenet,65,85.0007184063035
dino_vits8_imagenet,dino_vits8,imagenet,66,83.75318637116554
dino_vits8_imagenet,dino_vits8,imagenet,67,85.3199389488055
dino_vits8_imagenet,dino_vits8,imagenet,68,82.87111544528997
dino_vits8_imagenet,dino_vits8,imagenet,69,84.46639085377669
dino_vits8_imagenet,dino_vits8,imagenet,70,85.77345388300049
dino_vits8_imagenet,dino_vits8,imagenet,71,83.85519802696126
dino_vits8_imagenet,dino_vits8,imagenet,72,85.37470948337112
dino_vits8_imagenet,dino_vits8,imagenet,73,83.70289947673636
dino_vits8_imagenet,dino_vits8,imagenet,74,85.2047635586137
dino_vits8_imagenet,dino_vits8,imagenet,75,86.69587455440453
dino_vits8_imagenet,dino_vits8,imagenet,76,87.41891055762996
dino_vits8_imagenet,dino_vits8,imagenet,77,86.07108983931167
dino_vits8_imagenet,dino_vits8,imagenet,78,86.95378124610737
dino_vits8_imagenet,dino_vits8,imagenet,79,85.00283973219555
dino_vits8_imagenet,dino_vits8,imagenet,80,87.8897728137855
dino_vits8_imagenet,dino_vits8,imagenet,81,84.08595779216469
dino_vits8_imagenet,dino_vits8,imagenet,82,84.13538608459343
dino_vits8_imagenet,dino_vits8,imagenet,83,82.8084993697366
dino_vits8_imagenet,dino_vits8,imagenet,84,85.98699203120994
dino_vits8_imagenet,dino_vits8,imagenet,85,85.22497302416579
dino_vits8_imagenet,dino_vits8,imagenet,86,85.57376465968133
dino_vits8_imagenet,dino_vits8,imagenet,87,82.79863381762024
dino_vits8_imagenet,dino_vits8,imagenet,88,83.0091418693919
dino_vits8_imagenet,dino_vits8,imagenet,89,83.81838023774182
dino_vits8_imagenet,dino_vits8,imagenet,90,84.84649456743512
dino_vits8_imagenet,dino_vits8,imagenet,91,83.6445644721818
